yq,gvkey,bert_adoption_dummy,ret_future_1q,abret
2020Q1,001004,0,0.1638507556618027,-0.1282623069969294
2020Q1,001045,0,0.0721900814049996,-0.23209644657214618
2020Q1,001050,0,0.4111361556522652,0.10052280775074662
2020Q1,001075,0,-0.0232724157166183,-0.20012559247577824
2020Q1,001076,0,0.9947330287927368,0.6864588302325652
2020Q1,001078,0,0.1631913255677961,-0.11285873601355248
2020Q1,001104,0,0.1399614058023233,-0.22413058039478034
2020Q1,001117,0,1.0421691790091896,0.4059099907503333
2020Q1,001161,1,0.1567727690177678,-0.14747197050586966
2020Q1,001186,0,0.614982802248204,0.32521582535931387
2020Q1,001209,0,0.2163727788838756,-0.08787196063976185
2020Q1,001230,0,0.273621311068132,0.09676813430897205
2020Q1,001254,0,-0.0423226399112155,-0.29078285370097806
2020Q1,001257,0,-0.1118979278631363,-0.4523691884763125
2020Q1,001274,0,-0.1144385373530516,-0.2954425892692484
2020Q1,001300,0,0.0873919872730808,-0.21685275225055667
2020Q1,001327,0,0.4358312341087547,0.13158649458511723
2020Q1,001380,0,0.5633646709937679,0.2735976941048777
2020Q1,001393,0,0.0400615023723829,-0.1409425495438139
2020Q1,001410,0,0.4981407286105492,0.2060276659518171
2020Q1,001414,0,0.3224503618701391,0.14559718511097916
2020Q1,001439,0,0.1144735114398733,-0.24849794973964537
2020Q1,001440,1,0.0039262770177967,-0.17292689974136324
2020Q1,001447,0,0.1172594209571988,-0.059593755801961135
2020Q1,001449,0,0.0603566969890236,-0.12064735492717321
2020Q1,001487,0,0.2989686250730674,0.11796457315687056
2020Q1,001562,1,0.1153509810711981,-0.49631419248128816
2020Q1,001585,0,-0.0484092057587746,-0.3590225536602932
2020Q1,001598,0,0.2434056444821215,-0.06083909504151594
2020Q1,001602,0,0.1715231396393124,-0.1045269219420362
2020Q1,001613,0,0.228000194443704,-0.1333741517714817
2020Q1,001632,0,0.3754959021136022,0.08572892522471204
2020Q1,001659,0,-0.2661329980648931,-0.6215728267999696
2020Q1,001661,0,0.8979731761179401,0.61152959683726
2020Q1,001678,0,2.235839065868935,1.9315525378917893
2020Q1,001690,0,0.4382827192770362,0.13403797975339876
2020Q1,001704,0,0.3244603192997701,0.02021557977613264
2020Q1,001706,0,0.0634441829148337,-0.23384273069656678
2020Q1,001712,0,0.0537824130975677,-0.307591933117618
2020Q1,001722,0,0.1445538123151224,-0.03645023960107441
2020Q1,001743,0,0.5185346496978074,0.16309482096273092
2020Q1,001773,0,0.3242720627656992,0.1432680108495024
2020Q1,001794,0,0.385718530685093,0.20471447876889617
2020Q1,001820,0,0.025772727275054,-0.33560161894013174
2020Q1,001823,0,0.150326933639372,-0.21104741257581372
2020Q1,001864,0,0.4915076407879384,0.18089429288641984
2020Q1,001878,1,0.5322874072201462,0.22804266769650877
2020Q1,001891,1,0.0959909155202094,-0.1800591460611392
2020Q1,001913,0,0.1256492814546843,-0.17859545806895316
2020Q1,001919,1,0.1193230458759881,-0.06168100604020871
2020Q1,001926,0,0.2270368252607437,-0.0650762373979884
2020Q1,001932,1,0.1354197554411358,-0.1510238238395443
2020Q1,001968,0,0.1771418910537392,-0.30945240198962165
2020Q1,001979,0,-0.0390997623428119,-0.3795710229559881
2020Q1,001982,0,0.1039307007845602,-0.2515091279505163
2020Q1,001988,0,0.0769602477222499,-0.22728449180138754
2020Q1,002002,0,0.0734279363408896,-0.10757611557530722
2020Q1,002005,0,0.1232734220881432,-0.16649355480074696
2020Q1,002019,1,0.1570415066503863,-0.023962545265810514
2020Q1,002049,0,-0.0502619658852063,-0.2987221796749689
2020Q1,002055,0,0.4748135552634001,0.18504657837450994
2020Q1,002086,0,0.0634928526166509,-0.2125572089646977
2020Q1,002101,0,0.3721405502572767,0.12368033646751414
2020Q1,002111,0,0.0447834944214458,-0.13206968233771413
2020Q1,002124,0,0.1119801662423534,-0.19863318165916516
2020Q1,002136,0,0.037040680727987,-0.13981249603117293
2020Q1,002137,0,0.0373418752582312,-0.13951130150092872
2020Q1,002184,1,0.5407008589358564,0.23645611941221895
2020Q1,002220,0,0.2879117501657673,-0.001855226723122827
2020Q1,002259,0,-0.1074303785949432,-0.28843443051114004
2020Q1,002269,1,0.0326699339910399,-0.2716165939861059
2020Q1,002270,0,0.4483441699653188,-0.0050198822804990995
2020Q1,002285,0,0.2290469569294964,-0.07523957104764939
2020Q1,002312,0,0.40884706142459,0.06837580081141376
2020Q1,002337,0,0.6746037719165154,0.319163943181439
2020Q1,002352,0,0.0426295141985719,-0.20583069959119066
2020Q1,002369,0,0.1195217475292416,-0.17024522935964853
2020Q1,002403,0,0.0627037772830485,-0.11414939947611143
2020Q1,002408,1,0.0757804809291278,-0.10107269583003213
2020Q1,002410,0,-0.0180457566250313,-0.47140980887084916
2020Q1,002435,0,0.1499604094658184,-0.15428433005781905
2020Q1,002436,1,0.617308073212093,0.26186824447701657
2020Q1,002444,1,0.8176212147450346,0.569161000955272
2020Q1,002448,0,0.7602022409054126,0.51174202711565
2020Q1,002497,0,0.3709135017521521,0.08114652486326196
2020Q1,002504,0,-0.116600066874185,-0.6473631801569721
2020Q1,002526,0,0.2828849142174994,-0.006882062671390743
2020Q1,002536,0,0.2900971104555445,0.04163689666578191
2020Q1,002573,0,0.183004494668981,-0.09372198926879238
2020Q1,002574,0,0.2215229881778364,-0.054527073403512205
2020Q1,002577,0,-0.193250616377354,-0.49053752998875444
2020Q1,002593,0,0.4323519539954044,0.1838917402056418
2020Q1,002596,0,0.0271374421027033,-0.26262953478618684
2020Q1,002628,0,-0.0477804937391158,-0.2962407075288784
2020Q1,002663,0,0.0827025463285153,-0.22154219319512214
2020Q1,002696,0,0.14644407080476,-0.1296059907765886
2020Q1,002698,0,0.1655869022646519,-0.13865783725898556
2020Q1,002710,0,0.2256535370657695,0.04880036030660956
2020Q1,002751,0,0.0987880590639518,-0.1772620025173968
2020Q1,002771,0,-0.0407947182565527,-0.33056169514544287
2020Q1,002787,0,0.2557836609723263,0.013952157307820873
2020Q1,002807,1,0.1309229262559281,-0.11753728753383447
2020Q1,002817,0,0.0997892134361322,-0.1762608481452164
2020Q1,002820,0,0.3305505748224031,-0.03354141137470057
2020Q1,002829,0,0.1738035210007571,-0.1875708252144286
2020Q1,002884,0,0.0872195168028713,-0.36614453544294656
2020Q1,002940,1,0.5169404778233921,0.2751089741588867
2020Q1,002942,0,0.2320333176405431,-0.13093814353897557
2020Q1,002960,0,0.0419471309130421,-0.4117461015672985
2020Q1,002968,1,0.054582084473578,-0.2318614948071021
2020Q1,002986,0,-0.0148172475618832,-0.26327746135164576
2020Q1,002990,0,3.1145900517036793,2.8039767038021606
2020Q1,002991,0,0.2487611292267508,0.067757077310554
2020Q1,003007,0,0.9983354456519556,0.4675723323691685
2020Q1,003026,0,0.2082766340308577,-0.0677734275504909
2020Q1,003028,0,0.2933462477675541,-0.16034698471278652
2020Q1,003062,0,0.5376973643505081,0.23345262482687062
