yq,gvkey,bert_adoption_dummy,ret_future_4q,abret
2020Q1,001004,0,1.3451544052323705,-0.3870378628408695
2020Q1,001045,0,0.960619932224577,0.1071544184883414
2020Q1,001050,0,0.6980744495818103,-0.8651239371951978
2020Q1,001075,0,0.1176825962908463,-0.7546902087511261
2020Q1,001076,0,1.2200743464937842,0.09088430761066224
2020Q1,001078,0,0.5409122822682202,-0.2373811331126474
2020Q1,001104,0,0.9923164416413666,-0.3973942469591072
2020Q1,001117,0,1.568068662157044,0.17835797355657035
2020Q1,001161,1,0.7260326536177719,-0.8407653575928373
2020Q1,001186,0,0.4779156764481491,-0.5818361110143246
2020Q1,001209,0,0.4382567470118947,-0.3400366683689729
2020Q1,001230,0,1.4309769645748682,0.5100678442012194
2020Q1,001254,0,1.2237814144739754,0.32239971740392226
2020Q1,001257,0,0.0752639636653067,-1.0539260752178152
2020Q1,001274,0,0.1338647791773102,-1.0396524330190142
2020Q1,001300,0,0.6564159947874173,-0.19704951894881828
2020Q1,001327,0,1.080695700752103,-0.13485317833194754
2020Q1,001380,0,1.1660206144738825,0.2451114941002337
2020Q1,001393,0,1.1206762360485127,0.2483034310065403
2020Q1,001410,0,1.145723686729915,0.0899394908546498
2020Q1,001414,0,0.6926906817466456,-0.2282184386270032
2020Q1,001439,0,0.3697355414218861,-0.9917466235598265
2020Q1,001440,1,0.0973259277446985,-0.8235831926289503
2020Q1,001447,0,0.6867464900822222,-0.09154692529864539
2020Q1,001449,0,0.5380292379162359,-0.6354879742800885
2020Q1,001487,0,0.977558415971842,-0.19595879622448242
2020Q1,001562,1,0.4943235468151796,-1.693049764459855
2020Q1,001585,0,0.4146848575294823,-1.1485135292475257
2020Q1,001598,0,0.7857682296096795,-0.429780649474371
2020Q1,001602,0,0.2624165886083518,-0.5910489251278838
2020Q1,001613,0,1.6999995089769335,0.13680112219992546
2020Q1,001632,0,0.7636737691356217,-0.01461964624524592
2020Q1,001659,0,0.5119855334010275,-0.8149452458073918
2020Q1,001661,0,3.791081754621281,2.4641509754128617
2020Q1,001678,0,3.317960278562106,2.4644947648258704
2020Q1,001690,0,1.3548184637622844,0.5013529500260488
2020Q1,001704,0,1.9509440158652236,1.172650600484356
2020Q1,001706,0,0.5817911205501083,-0.8789756434715523
2020Q1,001712,0,0.3058813239637215,-0.7811958177757796
2020Q1,001722,0,0.6710049075202662,-0.20136789752170625
2020Q1,001743,0,3.053640223617041,1.6921580586353284
2020Q1,001773,0,1.1364933573737463,0.2641205523317739
2020Q1,001794,0,0.799220217291756,-0.2565639785835092
2020Q1,001820,0,0.7268062651929763,-0.6629044234074974
2020Q1,001823,0,0.9651426444198828,-0.5980557423571252
2020Q1,001864,0,0.8097170105068645,-0.7534813762701436
2020Q1,001878,1,0.7754676219417291,-0.7913303892688801
2020Q1,001891,1,0.4106898405048509,-0.44277567323138467
2020Q1,001913,0,0.8336146033812375,-0.7331834078293717
2020Q1,001919,1,0.6983748412890378,-0.6285559379193815
2020Q1,001926,0,0.825504103190549,-0.737694283586459
2020Q1,001932,1,0.2271687101674326,-0.9463485020288919
2020Q1,001968,0,0.7529983155607249,-0.7286631121048084
2020Q1,001979,0,0.2767562887397641,-1.2049051389257692
2020Q1,001982,0,0.7062068375052915,-1.0259854305679486
2020Q1,001988,0,0.3201275949127344,-0.5333379188235012
2020Q1,002002,0,1.0795056997350754,-0.09401151246124906
2020Q1,002005,0,0.6844472161737671,-0.23646190419988167
2020Q1,002019,1,0.4520310105492202,-0.7214862016471042
2020Q1,002049,0,0.2019524717711676,-1.159529693210545
2020Q1,002055,0,0.0963507354854811,-0.7760220695564913
2020Q1,002086,0,0.0511805352681737,-0.7271128801126939
2020Q1,002101,0,1.031803881090557,0.13042218402050387
2020Q1,002111,0,0.0725124723319308,-0.848396648041718
2020Q1,002124,0,1.0954868162334672,-0.6818031944877165
2020Q1,002136,0,0.1305359642497938,-0.6477574511310737
2020Q1,002137,0,0.1732393639841216,-0.7476697563895272
2020Q1,002184,1,1.0606331047651305,0.2823396893842629
2020Q1,002220,0,0.6293088319228564,-0.2430639731191161
2020Q1,002259,0,0.081965430406294,-0.9738187654689712
2020Q1,002269,1,0.6473202079413751,-0.9194778032692341
2020Q1,002285,0,0.707927064102148,-0.14553844963408757
2020Q1,002312,0,1.1166318359171554,-0.012558202965966547
2020Q1,002337,0,7.690485270190326,6.363554490981906
2020Q1,002352,0,0.2086434730481186,-1.252123290973542
2020Q1,002369,0,0.5290441460263602,-0.3918649743472886
2020Q1,002403,0,0.1767806260421431,-0.6015127893387245
2020Q1,002408,1,0.3259326930262893,-0.5949764273473594
2020Q1,002410,0,0.0711643223656437,-1.1023528898306807
2020Q1,002435,0,0.2548429845813136,-1.3119550266292956
